Patient ID,Specialty,Referral Source,Engagement History,Website Interactions,Lead Source,Conversion Probability,Lead Score
L31357,Neurology,Word of Mouth,Visited website 9 times,Visited 1 pages,Digital Ad,36.0,44.85
L87505,Neurology,Digital Ad,Visited website 4 times,Visited 3 pages,Organic Search,55.0,64.36
L12869,Cardiology,Digital Ad,Visited website 7 times,Visited 2 pages,Organic Search,30.0,66.15
L71135,Orthopedics,Digital Ad,Visited website 3 times,Visited 3 pages,Referral,79.0,58.53
L60108,Neurology,Word of Mouth,Visited website 8 times,Visited 2 pages,Referral,62.0,61.96
L48467,Pediatrics,Word of Mouth,Visited website 2 times,Visited 3 pages,Organic Search,41.0,19.0
L33328,Pediatrics,Digital Ad,Visited website 9 times,Visited 3 pages,Digital Ad,69.0,37.53
L96831,Neurology,Digital Ad,Visited website 1 times,Visited 4 pages,Referral,65.0,60.78
L13987,Orthopedics,Word of Mouth,Visited website 9 times,Visited 2 pages,Digital Ad,49.0,42.14
L68871,Orthopedics,Word of Mouth,Visited website 5 times,Visited 4 pages,Digital Ad,41.0,35.38
L32399,Pediatrics,Word of Mouth,Visited website 9 times,Visited 3 pages,Referral,60.0,33.38
L56214,Pediatrics,Doctor Referral,Visited website 5 times,Visited 1 pages,Digital Ad,63.0,30.67
L96416,Pediatrics,Doctor Referral,Visited website 5 times,Visited 1 pages,Organic Search,42.0,31.23
L80271,Orthopedics,Word of Mouth,Visited website 5 times,Visited 3 pages,Organic Search,65.0,55.15
L54064,Pediatrics,Digital Ad,Visited website 7 times,Visited 3 pages,Digital Ad,74.0,36.76
L80091,Pediatrics,Doctor Referral,Visited website 4 times,Visited 2 pages,Referral,67.0,37.63
L50818,Cardiology,Digital Ad,Visited website 3 times,Visited 3 pages,Digital Ad,51.0,60.98
L55525,Neurology,Digital Ad,Visited website 8 times,Visited 1 pages,Digital Ad,44.0,52.12
L29830,Pediatrics,Doctor Referral,Visited website 8 times,Visited 2 pages,Digital Ad,79.0,44.19
L27429,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Digital Ad,77.0,79.62
L16893,Cardiology,Digital Ad,Visited website 2 times,Visited 4 pages,Digital Ad,47.0,59.14
L89909,Orthopedics,Doctor Referral,Visited website 4 times,Visited 4 pages,Digital Ad,52.0,49.16
L57333,Orthopedics,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,44.0,56.73
L13436,Cardiology,Word of Mouth,Visited website 7 times,Visited 1 pages,Organic Search,53.0,70.1
L84290,Pediatrics,Doctor Referral,Visited website 7 times,Visited 4 pages,Referral,45.0,35.18
L86213,Pediatrics,Doctor Referral,Visited website 5 times,Visited 1 pages,Referral,37.0,23.81
L15895,Orthopedics,Word of Mouth,Visited website 9 times,Visited 2 pages,Digital Ad,56.0,45.37
L29738,Orthopedics,Doctor Referral,Visited website 4 times,Visited 4 pages,Organic Search,39.0,53.41
L40746,Orthopedics,Doctor Referral,Visited website 6 times,Visited 4 pages,Referral,31.0,47.67
L59377,Cardiology,Word of Mouth,Visited website 9 times,Visited 4 pages,Digital Ad,49.0,65.69
L58404,Cardiology,Digital Ad,Visited website 8 times,Visited 2 pages,Referral,46.0,69.94
L64045,Neurology,Doctor Referral,Visited website 4 times,Visited 1 pages,Referral,55.0,61.29
L49790,Pediatrics,Word of Mouth,Visited website 5 times,Visited 3 pages,Referral,40.0,18.02
L15600,Orthopedics,Doctor Referral,Visited website 1 times,Visited 3 pages,Digital Ad,55.0,44.39
L50764,Cardiology,Word of Mouth,Visited website 7 times,Visited 4 pages,Referral,74.0,79.26
L84543,Orthopedics,Digital Ad,Visited website 9 times,Visited 1 pages,Organic Search,55.0,58.73
L55714,Neurology,Word of Mouth,Visited website 6 times,Visited 3 pages,Digital Ad,33.0,41.94
L66835,Pediatrics,Doctor Referral,Visited website 8 times,Visited 1 pages,Digital Ad,31.0,20.53
L83744,Pediatrics,Digital Ad,Visited website 6 times,Visited 4 pages,Referral,35.0,23.91
L66491,Neurology,Digital Ad,Visited website 2 times,Visited 2 pages,Digital Ad,31.0,38.45
L28589,Pediatrics,Word of Mouth,Visited website 6 times,Visited 1 pages,Organic Search,44.0,23.45
L53484,Pediatrics,Doctor Referral,Visited website 9 times,Visited 4 pages,Referral,72.0,50.69
L92989,Neurology,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,33.0,55.76
L46212,Neurology,Word of Mouth,Visited website 5 times,Visited 1 pages,Organic Search,40.0,50.79
L53525,Neurology,Doctor Referral,Visited website 3 times,Visited 2 pages,Referral,41.0,54.84
L57202,Orthopedics,Doctor Referral,Visited website 1 times,Visited 1 pages,Organic Search,65.0,56.17
L42635,Pediatrics,Word of Mouth,Visited website 1 times,Visited 1 pages,Organic Search,55.0,20.84
L73208,Neurology,Word of Mouth,Visited website 5 times,Visited 3 pages,Organic Search,40.0,53.87
L43828,Cardiology,Digital Ad,Visited website 4 times,Visited 1 pages,Organic Search,62.0,74.76
L28711,Orthopedics,Digital Ad,Visited website 7 times,Visited 1 pages,Referral,48.0,47.31
L13420,Orthopedics,Doctor Referral,Visited website 5 times,Visited 1 pages,Organic Search,53.0,56.78
L10301,Pediatrics,Word of Mouth,Visited website 7 times,Visited 4 pages,Organic Search,72.0,42.5
L55236,Pediatrics,Digital Ad,Visited website 6 times,Visited 2 pages,Organic Search,55.0,35.18
L76235,Neurology,Word of Mouth,Visited website 3 times,Visited 2 pages,Digital Ad,74.0,54.69
L64240,Neurology,Digital Ad,Visited website 1 times,Visited 3 pages,Organic Search,72.0,67.59
L75726,Orthopedics,Word of Mouth,Visited website 9 times,Visited 4 pages,Organic Search,62.0,61.44
L20492,Cardiology,Doctor Referral,Visited website 9 times,Visited 2 pages,Referral,35.0,71.53
L16102,Orthopedics,Digital Ad,Visited website 9 times,Visited 2 pages,Organic Search,64.0,64.41
L60336,Neurology,Doctor Referral,Visited website 4 times,Visited 1 pages,Digital Ad,56.0,56.63
L95314,Neurology,Word of Mouth,Visited website 3 times,Visited 4 pages,Organic Search,43.0,53.71
L36641,Pediatrics,Doctor Referral,Visited website 2 times,Visited 1 pages,Referral,54.0,27.04
L44584,Cardiology,Word of Mouth,Visited website 1 times,Visited 1 pages,Digital Ad,59.0,53.41
L42745,Cardiology,Digital Ad,Visited website 7 times,Visited 1 pages,Digital Ad,76.0,75.58
L33093,Pediatrics,Word of Mouth,Visited website 7 times,Visited 1 pages,Organic Search,74.0,38.81
L76105,Cardiology,Digital Ad,Visited website 3 times,Visited 4 pages,Digital Ad,72.0,72.2
L61885,Neurology,Digital Ad,Visited website 7 times,Visited 1 pages,Digital Ad,48.0,52.43
L46631,Cardiology,Digital Ad,Visited website 5 times,Visited 3 pages,Referral,65.0,75.63
L82991,Cardiology,Digital Ad,Visited website 6 times,Visited 4 pages,Referral,51.0,72.25
L14014,Neurology,Digital Ad,Visited website 7 times,Visited 2 pages,Referral,61.0,65.08
L21093,Pediatrics,Word of Mouth,Visited website 8 times,Visited 3 pages,Digital Ad,44.0,19.35
L28070,Orthopedics,Digital Ad,Visited website 8 times,Visited 2 pages,Organic Search,77.0,68.87
L45777,Pediatrics,Word of Mouth,Visited website 7 times,Visited 2 pages,Organic Search,62.0,34.82
L66958,Cardiology,Digital Ad,Visited website 4 times,Visited 1 pages,Referral,32.0,55.81
L92074,Cardiology,Digital Ad,Visited website 4 times,Visited 3 pages,Organic Search,69.0,81.05
L20729,Neurology,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,64.0,75.17
L55017,Neurology,Doctor Referral,Visited website 2 times,Visited 1 pages,Organic Search,78.0,73.94
L76320,Cardiology,Word of Mouth,Visited website 8 times,Visited 3 pages,Digital Ad,45.0,60.78
L37751,Neurology,Word of Mouth,Visited website 1 times,Visited 3 pages,Digital Ad,70.0,51.31
L88069,Cardiology,Doctor Referral,Visited website 3 times,Visited 2 pages,Referral,37.0,63.24
L64748,Neurology,Doctor Referral,Visited website 5 times,Visited 3 pages,Digital Ad,63.0,64.46
L15801,Orthopedics,Digital Ad,Visited website 8 times,Visited 3 pages,Organic Search,37.0,51.97
L29190,Pediatrics,Digital Ad,Visited website 2 times,Visited 4 pages,Digital Ad,55.0,21.86
L59689,Neurology,Word of Mouth,Visited website 6 times,Visited 3 pages,Referral,43.0,51.66
L60993,Pediatrics,Digital Ad,Visited website 2 times,Visited 4 pages,Digital Ad,51.0,20.02
L39592,Pediatrics,Digital Ad,Visited website 7 times,Visited 3 pages,Organic Search,54.0,37.79
L20647,Orthopedics,Digital Ad,Visited website 6 times,Visited 3 pages,Referral,42.0,46.08
L18716,Neurology,Digital Ad,Visited website 4 times,Visited 4 pages,Digital Ad,79.0,66.72
L98891,Neurology,Digital Ad,Visited website 6 times,Visited 1 pages,Referral,39.0,51.87
L97545,Neurology,Digital Ad,Visited website 1 times,Visited 1 pages,Organic Search,48.0,53.46
L99912,Pediatrics,Digital Ad,Visited website 1 times,Visited 4 pages,Digital Ad,41.0,13.88
L80316,Pediatrics,Digital Ad,Visited website 4 times,Visited 4 pages,Digital Ad,44.0,19.87
L12368,Pediatrics,Word of Mouth,Visited website 1 times,Visited 2 pages,Referral,58.0,18.64
L87575,Pediatrics,Word of Mouth,Visited website 2 times,Visited 2 pages,Digital Ad,45.0,9.06
L16655,Orthopedics,Word of Mouth,Visited website 1 times,Visited 2 pages,Organic Search,64.0,47.0
L80031,Orthopedics,Word of Mouth,Visited website 3 times,Visited 4 pages,Organic Search,74.0,57.76
L86429,Cardiology,Word of Mouth,Visited website 3 times,Visited 1 pages,Organic Search,52.0,63.49
L97922,Neurology,Word of Mouth,Visited website 6 times,Visited 3 pages,Digital Ad,66.0,57.14
L65766,Pediatrics,Doctor Referral,Visited website 2 times,Visited 3 pages,Referral,53.0,29.65
L23403,Cardiology,Digital Ad,Visited website 5 times,Visited 2 pages,Organic Search,58.0,75.99
L42097,Orthopedics,Doctor Referral,Visited website 2 times,Visited 2 pages,Organic Search,65.0,59.24
L88657,Cardiology,Doctor Referral,Visited website 8 times,Visited 1 pages,Referral,70.0,84.59
L20966,Cardiology,Word of Mouth,Visited website 6 times,Visited 2 pages,Digital Ad,69.0,67.23
L62921,Pediatrics,Word of Mouth,Visited website 5 times,Visited 2 pages,Referral,78.0,34.0
L59726,Neurology,Word of Mouth,Visited website 9 times,Visited 2 pages,Referral,66.0,65.34
L60300,Neurology,Word of Mouth,Visited website 6 times,Visited 1 pages,Referral,76.0,63.8
L32677,Orthopedics,Doctor Referral,Visited website 8 times,Visited 3 pages,Organic Search,65.0,69.99
L65609,Cardiology,Digital Ad,Visited website 1 times,Visited 3 pages,Referral,73.0,73.17
L66661,Orthopedics,Digital Ad,Visited website 2 times,Visited 4 pages,Digital Ad,70.0,49.26
L41024,Pediatrics,Digital Ad,Visited website 3 times,Visited 3 pages,Digital Ad,66.0,26.93
L80313,Neurology,Digital Ad,Visited website 2 times,Visited 4 pages,Referral,52.0,56.32
L63006,Orthopedics,Word of Mouth,Visited website 1 times,Visited 1 pages,Referral,33.0,26.06
L25338,Neurology,Digital Ad,Visited website 8 times,Visited 1 pages,Referral,32.0,51.72
L78027,Pediatrics,Digital Ad,Visited website 5 times,Visited 2 pages,Digital Ad,50.0,21.1
L90135,Orthopedics,Word of Mouth,Visited website 3 times,Visited 3 pages,Organic Search,31.0,36.41
L29508,Neurology,Digital Ad,Visited website 4 times,Visited 4 pages,Organic Search,36.0,57.14
L13051,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Digital Ad,51.0,39.48
L58747,Orthopedics,Digital Ad,Visited website 4 times,Visited 2 pages,Digital Ad,39.0,34.97
L97142,Orthopedics,Word of Mouth,Visited website 8 times,Visited 4 pages,Referral,69.0,58.01
L97235,Neurology,Word of Mouth,Visited website 8 times,Visited 4 pages,Organic Search,76.0,76.6
L64021,Orthopedics,Digital Ad,Visited website 8 times,Visited 4 pages,Organic Search,78.0,72.4
L76412,Pediatrics,Doctor Referral,Visited website 8 times,Visited 1 pages,Organic Search,45.0,37.22
L68335,Cardiology,Word of Mouth,Visited website 2 times,Visited 4 pages,Organic Search,56.0,68.41
L66179,Pediatrics,Doctor Referral,Visited website 3 times,Visited 3 pages,Digital Ad,61.0,29.75
L42093,Pediatrics,Word of Mouth,Visited website 8 times,Visited 1 pages,Digital Ad,68.0,27.34
L79678,Pediatrics,Word of Mouth,Visited website 4 times,Visited 2 pages,Referral,63.0,25.55
L90738,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Referral,41.0,68.15
L49734,Cardiology,Doctor Referral,Visited website 7 times,Visited 1 pages,Referral,72.0,83.97
L82615,Orthopedics,Word of Mouth,Visited website 3 times,Visited 1 pages,Organic Search,52.0,43.01
L83523,Neurology,Doctor Referral,Visited website 6 times,Visited 3 pages,Organic Search,76.0,82.23
L27019,Orthopedics,Doctor Referral,Visited website 1 times,Visited 3 pages,Digital Ad,55.0,44.39
L93613,Cardiology,Doctor Referral,Visited website 8 times,Visited 4 pages,Referral,60.0,84.59
L96672,Pediatrics,Digital Ad,Visited website 6 times,Visited 2 pages,Digital Ad,30.0,13.42
L83847,Pediatrics,Digital Ad,Visited website 5 times,Visited 3 pages,Referral,30.0,18.54
L92750,Pediatrics,Doctor Referral,Visited website 9 times,Visited 3 pages,Organic Search,58.0,47.82
L89634,Orthopedics,Doctor Referral,Visited website 3 times,Visited 3 pages,Digital Ad,50.0,45.16
L38251,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Referral,54.0,45.98
L35945,Pediatrics,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,31.0,15.41
L42217,Cardiology,Digital Ad,Visited website 4 times,Visited 3 pages,Organic Search,65.0,79.21
L18308,Orthopedics,Digital Ad,Visited website 6 times,Visited 4 pages,Referral,79.0,64.67
L15949,Neurology,Word of Mouth,Visited website 6 times,Visited 2 pages,Digital Ad,78.0,61.14
L61990,Neurology,Word of Mouth,Visited website 1 times,Visited 4 pages,Digital Ad,76.0,55.61
L11150,Orthopedics,Digital Ad,Visited website 3 times,Visited 1 pages,Digital Ad,55.0,39.27
L99480,Orthopedics,Word of Mouth,Visited website 7 times,Visited 1 pages,Digital Ad,30.0,28.78
L84740,Neurology,Doctor Referral,Visited website 7 times,Visited 4 pages,Digital Ad,38.0,57.55
L76617,Pediatrics,Doctor Referral,Visited website 4 times,Visited 4 pages,Referral,59.0,37.02
L26896,Neurology,Word of Mouth,Visited website 5 times,Visited 1 pages,Referral,73.0,60.88
L56175,Cardiology,Digital Ad,Visited website 6 times,Visited 3 pages,Digital Ad,76.0,77.11
L17805,Neurology,Doctor Referral,Visited website 9 times,Visited 4 pages,Organic Search,63.0,82.39
L15237,Orthopedics,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,66.0,52.02
L30056,Cardiology,Doctor Referral,Visited website 5 times,Visited 4 pages,Digital Ad,61.0,75.32
L55543,Orthopedics,Word of Mouth,Visited website 2 times,Visited 4 pages,Digital Ad,55.0,37.22
L66556,Pediatrics,Doctor Referral,Visited website 1 times,Visited 2 pages,Organic Search,59.0,34.46
L13343,Pediatrics,Digital Ad,Visited website 5 times,Visited 4 pages,Organic Search,57.0,37.63
L23500,Cardiology,Doctor Referral,Visited website 2 times,Visited 3 pages,Digital Ad,42.0,60.42
L63222,Orthopedics,Digital Ad,Visited website 2 times,Visited 4 pages,Referral,39.0,40.09
L39375,Cardiology,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,47.0,72.45
L19662,Cardiology,Doctor Referral,Visited website 8 times,Visited 3 pages,Digital Ad,51.0,73.78
L26964,Pediatrics,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,59.0,43.16
L69638,Orthopedics,Word of Mouth,Visited website 3 times,Visited 4 pages,Digital Ad,73.0,47.06
L83666,Neurology,Word of Mouth,Visited website 2 times,Visited 4 pages,Referral,36.0,43.83
L95067,Pediatrics,Doctor Referral,Visited website 9 times,Visited 2 pages,Referral,78.0,50.38
L77215,Cardiology,Doctor Referral,Visited website 2 times,Visited 3 pages,Organic Search,34.0,66.97
L79042,Orthopedics,Word of Mouth,Visited website 5 times,Visited 3 pages,Digital Ad,78.0,50.9
L23284,Cardiology,Doctor Referral,Visited website 5 times,Visited 2 pages,Referral,31.0,63.54
L82789,Cardiology,Doctor Referral,Visited website 5 times,Visited 4 pages,Digital Ad,38.0,64.72
L94664,Cardiology,Digital Ad,Visited website 5 times,Visited 4 pages,Referral,72.0,80.39
L71389,Orthopedics,Digital Ad,Visited website 6 times,Visited 4 pages,Digital Ad,79.0,59.55
L19435,Pediatrics,Word of Mouth,Visited website 9 times,Visited 4 pages,Digital Ad,38.0,19.66
L64340,Neurology,Digital Ad,Visited website 9 times,Visited 3 pages,Digital Ad,74.0,70.56
L54078,Cardiology,Digital Ad,Visited website 3 times,Visited 4 pages,Referral,43.0,63.95
L88832,Neurology,Doctor Referral,Visited website 3 times,Visited 3 pages,Referral,52.0,61.44
L61293,Pediatrics,Digital Ad,Visited website 8 times,Visited 3 pages,Digital Ad,59.0,31.39
L88781,Cardiology,Doctor Referral,Visited website 2 times,Visited 2 pages,Referral,43.0,64.46
L70403,Orthopedics,Digital Ad,Visited website 3 times,Visited 2 pages,Digital Ad,77.0,50.95
L39124,Cardiology,Digital Ad,Visited website 1 times,Visited 2 pages,Organic Search,69.0,74.91
L53919,Cardiology,Digital Ad,Visited website 2 times,Visited 4 pages,Organic Search,68.0,79.06
L45247,Cardiology,Word of Mouth,Visited website 4 times,Visited 2 pages,Referral,32.0,52.23
L72752,Cardiology,Word of Mouth,Visited website 9 times,Visited 2 pages,Digital Ad,62.0,68.61
L66573,Pediatrics,Doctor Referral,Visited website 2 times,Visited 2 pages,Referral,63.0,32.72
L69101,Pediatrics,Word of Mouth,Visited website 2 times,Visited 3 pages,Digital Ad,46.0,11.06
L36646,Orthopedics,Digital Ad,Visited website 5 times,Visited 3 pages,Referral,68.0,56.53
L33049,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Organic Search,40.0,72.81
L89605,Orthopedics,Word of Mouth,Visited website 1 times,Visited 2 pages,Digital Ad,74.0,41.37
L78385,Cardiology,Digital Ad,Visited website 2 times,Visited 1 pages,Organic Search,69.0,74.91
L50158,Orthopedics,Word of Mouth,Visited website 6 times,Visited 4 pages,Digital Ad,61.0,46.13
L75417,Cardiology,Word of Mouth,Visited website 7 times,Visited 4 pages,Organic Search,75.0,84.84
L33289,Pediatrics,Digital Ad,Visited website 3 times,Visited 4 pages,Organic Search,71.0,41.01
L19823,Cardiology,Digital Ad,Visited website 9 times,Visited 1 pages,Digital Ad,51.0,67.13
L70160,Cardiology,Doctor Referral,Visited website 7 times,Visited 4 pages,Organic Search,67.0,91.4
L51975,Pediatrics,Doctor Referral,Visited website 2 times,Visited 1 pages,Digital Ad,74.0,31.13
L19540,Orthopedics,Doctor Referral,Visited website 5 times,Visited 1 pages,Referral,45.0,47.98
L26364,Neurology,Digital Ad,Visited website 2 times,Visited 1 pages,Organic Search,73.0,66.51
L14611,Pediatrics,Doctor Referral,Visited website 2 times,Visited 4 pages,Digital Ad,30.0,15.46
L37663,Orthopedics,Word of Mouth,Visited website 9 times,Visited 2 pages,Referral,75.0,59.24
L61991,Cardiology,Digital Ad,Visited website 9 times,Visited 1 pages,Digital Ad,38.0,61.14
L67679,Neurology,Doctor Referral,Visited website 4 times,Visited 4 pages,Organic Search,54.0,70.56
